Nameservice Startzeit: 10.11 13:55:36,427| mit PID <0.40.0> registriert mit Namen 'nameservice'.
bind um 10.11 13:55:43,151| von <7264.38.0> (chef):{chef,koordinator@SALLY.informatik.haw-hamburg.de}.
lookup um 10.11 13:55:51,948| von <7266.40.0>:{chef,koordinator@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,056| von <7266.53.0> (ggT32201):{ggT32201,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,119| von <7266.54.0> (ggT32191):{ggT32191,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,135| von <7266.55.0> (ggT32181):{ggT32181,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,165| von <7266.56.0> (ggT32171):{ggT32171,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,181| von <7266.57.0> (ggT32161):{ggT32161,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,213| von <7266.71.0> (ggT3221):{ggT3221,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,228| von <7266.58.0> (ggT32151):{ggT32151,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,260| von <7266.59.0> (ggT32141):{ggT32141,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,322| von <7266.72.0> (ggT3211):{ggT3211,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,338| von <7266.60.0> (ggT32131):{ggT32131,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,369| von <7266.61.0> (ggT32121):{ggT32121,clients@SALLY.informatik.haw-hamburg.de}.
lookup um 10.11 13:55:53,383| von <7266.53.0>:{chef,koordinator@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,415| von <7266.62.0> (ggT32111):{ggT32111,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,431| von <7266.63.0> (ggT32101):{ggT32101,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,462| von <7266.64.0> (ggT3291):{ggT3291,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,478| von <7266.67.0> (ggT3261):{ggT3261,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,508| von <7266.65.0> (ggT3281):{ggT3281,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,572| von <7266.66.0> (ggT3271):{ggT3271,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,587| von <7266.68.0> (ggT3251):{ggT3251,clients@SALLY.informatik.haw-hamburg.de}.
lookup um 10.11 13:55:53,633| von <7266.54.0>:{chef,koordinator@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,665| von <7266.69.0> (ggT3241):{ggT3241,clients@SALLY.informatik.haw-hamburg.de}.
bind um 10.11 13:55:53,681| von <7266.70.0> (ggT3231):{ggT3231,clients@SALLY.informatik.haw-hamburg.de}.
lookup um 10.11 13:55:53,712| von <7266.55.0>:{chef,koordinator@SALLY.informatik.haw-hamburg.de}.
lookup um 10.11 13:55:53,728| von <7266.56.0>:{chef,koordinator@SALLY.informatik.haw-hamburg.de}.
lookup um 10.11 13:55:53,758| von <7266.57.0>:{chef,koordinator@SALLY.informatik.haw-hamburg.de}.
lookup um 10.11 13:55:53,821| von <7266.71.0>:{chef,koordinator@SALLY.informatik.haw-hamburg.de}.
lookup um 10.11 13:55:53,837| von <7266.58.0>:{chef,koordinator@SALLY.informatik.haw-hamburg.de}.
lookup um 10.11 13:55:53,867| von <7266.59.0>:{chef,koordinator@SALLY.informatik.haw-hamburg.de}.
lookup um 10.11 13:55:53,883| von <7266.72.0>:{chef,koordinator@SALLY.informatik.haw-hamburg.de}.
lookup um 10.11 13:55:53,915| von <7266.60.0>:{chef,koordinator@SALLY.informatik.haw-hamburg.de}.
